synopsis-3,describes-4,version-7:recipient
Ashitaka-5,attempts-6,town-3:is_participant_in
monk-16,named-17,remarks-22:recipient
seller-2,refuses-3,first-6:site
seller-2,refuses-3,town-4:recipient
town-9,is-26,bags-32:recipient
monk-16,named-17,remarks-22:recipient
town-9,is-10,money-12:recipient
Ashitaka-1,leaves-3,quickly-2:modifier
Ashitaka-1,leaves-3,crowd-6:recipient
<NULL>,growing-5,<NULL>
<NULL>,commenting-9,<NULL>
Jigo-11,noticed-12,earlier-21:is_participant_in
Jigo-11,noticed-12,skills-16:recipient
Jigo-5,leaves-6,town-7:recipient
<NULL>,commenting-9,<NULL>
Jigo-11,noticed-12,earlier-21:is_participant_in
Jigo-11,noticed-12,skills-16:recipient
Jigo-1,follows-2,Ashitaka-3:recipient
<NULL>,following-5,<NULL>
Ashitaka-1,see-2,thugs-4:recipient
people-15,called-16,Emishi-18:recipient
Jigo-11,mentions-12,<NULL>
Jigo-40,keep-42,will-41:modal_verb
Jigo-40,keep-42,secret-45:recipient
Jigo-37,hints-38,<NULL>
Ashitaka-1,camp-2,later-4:modifier
Emishi-18,made-20,<NULL>
Ashitaka-1,tells-2,Jigo-3:recipient
Ashitaka-1,shows-23,<NULL>
<NULL>,discover-17,origins-20:recipient
Jigo-1,think-4,not-3:negative
forests-18,surrounded-15,<NULL>
gods-21,dwell-23,still-22:modifier
gods-21,dwell-23,where-19:modifier
Jigo-2,tell-4,further-10:modifier
Jigo-2,tell-4,him-5:recipient
Jigo-1,mentions-3,also-2:modifier
emperor-6,offered-8,mountain-10:recipient
emperor-6,offered-8,anyone-14:attachment
anyone-14,help-17,can-16:modal_verb
Emperor-18,live-19,forever-20:modifier
Jigo-15,sleeps-16,<NULL>
Ashitaka-4,leaves-5,quietly-6:modifier
<NULL>,carrying-15,rice-16:recipient
<NULL>,carrying-15,Town-19:attachment
caravan-10,moves-20,path-24:location
lieutenant-13,watch-9,leader-2:dependent
Driver-2,notices-3,wolves-7:recipient
Driver-2,notices-3,Suddenly-1:modifier
<NULL>,charging-8,down-9:verb_complement
<NULL>,charging-8,slope-12:recipient
<NULL>,holding-9,<NULL>
girl-3,rides-4,<NULL>
orders-2,Driver-3,men-4:recipient
men-12,were-13,<NULL>
shots-2,drive-3,wolves-6:recipient
shots-2,drive-3,remarks-10:recipient
shots-2,drive-3,off-4:verb_complement
men-4,were-5,<NULL>
Eboshi-1,responds-2,<NULL>
you-10,see-11,mother-13:recipient
<NULL>,wait-8,<NULL>
<NULL>,tumbling-18,mountain-21:recipient
<NULL>,tumbling-18,down-19:verb_complement
<NULL>,tumbling-18,mountain-21:recipient
<NULL>,tumbling-18,down-19:verb_complement
<NULL>,sending-14,<NULL>
Akihiro_Miwa-9,attacks-10,caravan-12:recipient
Akihiro_Miwa-9,attacks-10,oxen-17:recipient
Akihiro_Miwa-9,attacks-10,people-15:recipient
Moro-1,has-12,tails-14:recipient
Moro-1,is-2,size-7:recipient
<NULL>,sending-19,cliff-23:away_from_location
<NULL>,sending-19,Anderson-20:recipient
guards-2,use-3,flamethrower-5:recipient
Eboshi-10,reminds-11,men-12:recipient
<NULL>,surviving-2,<NULL>
Eboshi-10,reminds-11,men-12:recipient
<NULL>,pleased-5,men-3:recipient
size-14,takes-15,<NULL>
<NULL>,fell-14,<NULL>
survivors-8,forget-10,those-12:location_of
survivors-4,tells-7,survivors-8:recipient
survivors-4,onward-5,<NULL>
<NULL>,fell-14,<NULL>
survivors-8,forget-10,those-12:location_of
survivors-4,tells-7,survivors-8:recipient
Eboshi-1,urges-2,<NULL>
Ashitaka-10,arrives-11,base-5:site
Ashitaka-10,arrives-11,rainfall-18:raw_material
Ashitaka-10,arrives-11,Meanwhile-1:modifier
<NULL>,pulls-7,out-8:verb_complement
<NULL>,pulls-7,men-11:recipient
<NULL>,sees-2,bodies-3:recipient
<NULL>,pulls-7,out-8:verb_complement
<NULL>,pulls-7,men-11:recipient
<NULL>,floating-4,<NULL>
<NULL>,spitting-29,blood-31:recipient
<NULL>,spitting-29,out-30:verb_complement
<NULL>,trying-19,<NULL>
<NULL>,suck-21,bullet-23:recipient
<NULL>,suck-21,wound-27:raw_material
girl-6,tends-13,wolves-17:attachment
<NULL>,trying-19,<NULL>
<NULL>,suck-21,bullet-23:recipient
<NULL>,suck-21,wound-27:raw_material
Moro-1,watches-2,<NULL>
growling-3,alerts-4,presence-9:attachment
growling-3,alerts-4,San-5:recipient
Moro-1,asks-5,<NULL>
Ashitaka-7,are-8,gods-10:recipient
Moro-1,introduces-2,himself-3:recipient
San-1,tells-2,Moro-3:recipient
scream-2,brings-3,back-5:modifier
scream-2,brings-3,Ashitaka-4:recipient
<NULL>,broken-14,leg-12:recipient
<NULL>,broken-14,arm-10:recipient
Kouroku-1,get-4,not-3:negative
Kouroku-1,get-4,far-5:modifier
others-21,begin-23,<NULL>
Kouroku-3,'s-9,kodoma-11:recipient
forest-31,is-32,<NULL>
Kouroku-3,are-26,sign-28:recipient
Kouroku-3,tells-4,However-1:modifier
Kouroku-3,tells-4,Kouroku-5:recipient
creature-8,bring-10,will-9:modal_verb
creature-8,bring-10,master-13:recipient
<NULL>,asking-11,passage-16:destination
Ashitaka-1,talks-2,kodama-5:attachment
<NULL>,led-7,will-5:modal_verb
<NULL>,led-7,astray-8:modifier
<NULL>,led-7,Ashitaka-4:recipient
<NULL>,convinced-3,Kouroku-1:recipient
<NULL>,worried-3,man-8:location_of
<NULL>,worried-3,Ashitaka-1:recipient
Ashitaka-1,wants-17,<NULL>
route-28,lies-31,<NULL>
Ashitaka-8,join-19,Ashitaka-20:recipient
<NULL>,carrying-9,gunner-11:recipient
Ashitaka-8,join-19,Ashitaka-20:recipient
Ashitaka-2,follow-3,kodama-6:recipient
trees-16,grow-17,where-14:modifier
Ashitaka-1,come-2,part-10:attachment
<NULL>,do-12,<NULL>
<NULL>,is-2,<NULL>
Ashitaka-11,know-14,not-13:negative
Ashitaka-11,know-14,yet-16:modifier
Ashitaka-1,sees-2,footprints-4:recipient
<NULL>,notices-11,tracks-13:recipient
He-18,recognize-21,not-20:negative
He-1,sets-2,gunner-4:recipient
He-1,sets-2,down-5:verb_complement
He-1,spots-6,herd-8:recipient
<NULL>,followed-11,closely-12:modifier
He-1,scans-2,area-4:recipient
arm-6,throbs-8,suddenly-7:modifier
stops-2,throbs-8,suddenly-7:modifier
stops-2,moves-10,<NULL>
He-1,regains-8,only-7:modifier
He-1,regains-8,control-9:recipient
deer-13,vanishes-14,when-10:modifier
deer-13,vanishes-14,control-9:time
He-1,struggles-2,<NULL>
He-9,carrying-11,<NULL>
Ashitaka-5,notices-6,<NULL>
gunner-8,seems-12,lighter-15:object
<NULL>,healed-17,arm-15:recipient
Kouroku-7,raises-8,air-12:is_participant_in
Kouroku-7,raises-8,arm-9:recipient
arm-3,stops-4,<NULL>
arm-22,'s-23,<NULL>
Kouroku-7,realizes-21,quickly-20:modifier
<NULL>,proclaiming-13,<NULL>
Ashitaka-3,emerge-4,forest-7:performer
stockade-9,protected-4,town-2:recipient
<NULL>,welcomed-6,crowd-9:time_between
<NULL>,welcomed-6,Ashitaka-1:recipient
Kouroku-11,tells-12,<NULL>
Ashitaka-14,rescued-15,how-13:modifier
Ashitaka-14,rescued-15,Ashitaka-16:recipient
<NULL>,taken-3,across-4:verb_complement
<NULL>,taken-3,Ashitaka-1:recipient
Gonza-1,approaches-2,demands-5:recipient
Gonza-1,approaches-2,Ashitaka-3:recipient
