synopsis-3,describes-4,version-7:recipient
attention-3,make-9,heads-13:means
<NULL>,clattering-6,<NULL>
Walker-3,lowers-4,clearing-8:modified_to
Walker-3,lowers-4,itself-5:recipient
Jigo-8,sees-9,Walker-12:recipient
Jigo-8,sees-9,too-13:modifier
sin-23,'s-24,sin-26:recipient
hunter-21,says-22,<NULL>
Jigo_Ashitaka-13,wearing-16,all-15:modifier
Jigo_Ashitaka-13,wearing-16,skins-18:recipient
<NULL>,look-28,Walker-32:site
Jigo-1,points-2,sin-3:recipient
Jigo-1,points-2,out-4:verb_complement
Jigo-1,points-2,one-6:attachment
hunters-9,assisting-12,<NULL>
sin-10,resumes-11,shape-16:recipient
sin-3,shrink-4,trees-8:modified_to
sin-3,shrink-4,down-5:verb_complement
Jigo-1,watches-2,<NULL>
Spirit-7,walks-8,over-9:verb_complement
forest-1,has-2,eyes-4:recipient
steps-3,flower-14,<NULL>
steps-3,die-17,back-18:modifier
plants-11,grow-12,<NULL>
leaves-15,die-18,<NULL>
leaves-15,die-18,<NULL>
leaves-15,wither-16,<NULL>
Wherever-2,comes-3,close-4:object
Wherever-2,comes-3,When-1:modifier
leaves-15,die-18,<NULL>
leaves-15,die-18,<NULL>
leaves-15,wither-16,<NULL>
<NULL>,put-10,Ashitaka-12:prep_near
Jigo-11,see-12,hundreds-13:recipient
<NULL>,coming-16,up-17:verb_complement
hunters-5,climb-6,down-7:verb_complement
hunters-5,climb-6,mountain-9:recipient
Jigo-2,climb-6,down-7:verb_complement
Jigo-2,climb-6,mountain-9:recipient
boars-2,are-3,<NULL>
Jigo-9,traveled-12,distance-15:recipient
Jigo-9,traveled-12,must-10:modal_verb
leader-2,is-3,god-8:recipient
Jigo-13,realize-14,<NULL>
Okkoto-7,lets-8,out-9:verb_complement
Okkoto-7,lets-8,when-6:modifier
Okkoto-7,lets-8,roar-11:recipient
David-15,is-16,<NULL>
hunters-4,run-5,<NULL>
Jigo-1,run-5,<NULL>
Ashitaka-1,is-2,water-4:prep_under
touches-4,wound-7,When-1:modifier
touches-4,wound-7,chest-11:is_participant_in
Forest-13,stops-14,<NULL>
mark-18,remains-19,<NULL>
<NULL>,gone-13,wound-11:recipient
Jigo-1,finds-8,<NULL>
Jigo-1,wakes-2,up-3:verb_complement
San-1,comes-2,back-3:verb_complement
Ashitaka-1,hear-5,name-10:owner
Ashitaka-1,hear-5,Yakul-8:recipient
Ashitaka-1,is-2,<NULL>
Yakul-4,told-5,name-9:recipient
Yakul-4,told-5,bit-13:recipient
Yakul-1,says-2,<NULL>
Yakul-3,help-5,Jigo-6:recipient
Yakul-3,help-5,will-4:modal_verb
Yakul-1,says-2,<NULL>
Jigo-8,chew-13,San-14:recipient
Jigo-8,'s-9,<NULL>
San-1,offers-2,meat-4:recipient
San-1,offers-2,jerky-5:modifier
San-1,passes-6,<NULL>
San-1,chews-2,Jigo-4:with_respect_to
act-2,brings-3,tears-4:recipient
act-2,brings-3,eyes-8:attachment
Moro-1,arrives-2,<NULL>
brothers-3,save-10,forest-12:recipient
brothers-1,say-2,<NULL>
brothers-3,save-10,forest-12:recipient
brothers-3,come-5,<NULL>
boars-2,are-3,<NULL>
<NULL>,dying-31,<NULL>
<NULL>,wounded-24,Okkoto-22:recipient
Nago_Moro-19,says-20,<NULL>
Nago-26,was-27,<NULL>
Spirit-13,bother-16,not-15:negative
Spirit-13,bother-16,human-11:time
Spirit-13,bother-16,Okkoto-29:time
Spirit-13,bother-16,when-12:modifier
<NULL>,shows-8,wound-12:recipient
Ashitaka-1,confesses-2,<NULL>
<NULL>,shows-8,wound-12:recipient
<NULL>,killed-5,Nago-6:recipient
Okkoto-2,sniffs-6,Ashitaka-8:site
Okkoto-2,comes-3,forward-4:modifier
Okkoto-4,is-5,<NULL>
San-1,realizes-2,<NULL>
Ashitaka-16,meet-17,again-18:modifier
Okkoto-1,says-10,<NULL>
David-11,kill-13,Ashitaka-14:recipient
David-11,kill-13,will-12:modal_verb
Okkoto-1,thanks-2,Ashitaka-3:recipient
Okkoto-9,plan-13,<NULL>
boars-12,plan-13,<NULL>
Okkoto-9,attack-15,humans-17:recipient
boars-12,attack-15,humans-17:recipient
Ashitaka-2,suspect-3,<NULL>
Nago-4,be-6,<NULL>
Okkoto-15,says-16,<NULL>
Moro-1,tries-2,<NULL>
Ashitaka-17,fight-19,last-22:attachment
Ashitaka-17,fight-19,will-18:modal_verb
Okkoto-15,says-16,<NULL>
Ashitaka-7,defeat-10,humans-12:recipient
Ashitaka-7,defeat-10,not-9:negative
Ashitaka-7,defeat-10,ca-8:modal_verb
Ashitaka-8,see-9,<NULL>
San-6,see-9,<NULL>
rages-5,fight-13,samurai-19:recipient
rages-5,fight-13,Asano-15:recipient
gunfire-17,decimated-13,men-11:recipient
Asano-1,wishes-2,<NULL>
Jigo-9,sends-12,riflemen-15:recipient
Eboshi-2,returns-3,Iron_Town-5:attachment
<NULL>,hide-17,<NULL>
Jigo-9,sends-12,riflemen-15:recipient
Eboshi-7,meets-8,Jigo-9:recipient
Eboshi-12,gives-13,iron-17:recipient
Eboshi-12,gives-13,Asano-14:recipient
Lord_Asano-5,offered-7,<NULL>
Lady_Eboshi-1,tells-2,Jigo-3:recipient
messenger-11,asks-14,<NULL>
riflemen-2,reach-3,gate-8:recipient
<NULL>,introducing-9,note-12:recipient
<NULL>,introducing-9,Eboshi-14:attachment
Jigo-1,laughs-2,bravado-7:site
Sent-1,offers-15,reward-18:recipient
Sent-1,requests-8,head-10:recipient
himself-5,requests-8,head-10:recipient
Mikado-7,requests-8,head-10:recipient
Jigo-13,is-14,<NULL>
head-6,give-8,will-7:modal_verb
head-6,give-8,life-11:recipient
head-6,give-8,Emperor-9:recipient
Jigo-13,is-14,<NULL>
emperor-2,believes-3,<NULL>
Jigo-13,collect-17,reward-19:recipient
<NULL>,threatens-7,<NULL>
riflemen-12,helping-16,<NULL>
<NULL>,do-11,<NULL>
letter-4,seem-20,not-19:negative
letter-4,know-22,<NULL>
women-8,think-13,not-12:negative
<NULL>,do-18,<NULL>
Lady_Eboshi-1,shows-2,<NULL>
emperor-25,is-26,who-23:recipient
attack-13,keep-14,<NULL>
way-6,is-7,<NULL>
Lady_Eboshi-1,tells-2,Jigo-3:recipient
<NULL>,be-28,<NULL>
Jigo-20,tell-22,way-19:means
Jigo-20,tell-22,should-21:modal_verb
Jigo-20,tell-22,riflemen-25:recipient
Jigo-11,kill-12,Forest_Spirit-14:recipient
Jigo-20,tell-22,way-19:means
Jigo-20,tell-22,should-21:modal_verb
Jigo-20,tell-22,riflemen-25:recipient
<NULL>,help-10,<NULL>
<NULL>,come-27,place-32:object
Jigo-20,tell-22,way-19:means
Jigo-20,tell-22,should-21:modal_verb
Jigo-20,tell-22,riflemen-25:recipient
Eboshi-4,keep-6,will-5:modal_verb
Eboshi-4,keep-6,promise-8:recipient
Jigo-20,tell-22,way-19:means
Jigo-20,tell-22,should-21:modal_verb
Jigo-20,tell-22,riflemen-25:recipient
Lady_Eboshi-2,says-3,<NULL>
Jigo-1,laughs-2,<NULL>
man-11,come-16,Iron_Town-18:attachment
Jigo-5,asks-6,Lady_Eboshi-7:recipient
<NULL>,riding-12,elk-14:recipient
Eboshi-2,goes-3,<NULL>
Lady_Eboshi-6,replies-7,<NULL>
<NULL>,went-4,<NULL>
Eboshi-1,tells-17,Jigo-18:recipient
riflemen-37,turn-39,will-38:modal_verb
Eboshi-1,trust-5,entirely-4:modifier
Eboshi-1,trust-5,not-3:negative
Eboshi-1,trust-5,Jigo-6:recipient
Eboshi-1,trust-5,arms-12:recipient
Eboshi-1,tells-2,Jigo-3:recipient
Ashitaka-4,wakes-5,cave-9:is_participant_in
Ashitaka-4,finds-17,San-18:recipient
Ashitaka-4,finds-17,Ashitaka-21:prep_beside
<NULL>,sleeping-19,<NULL>
arm-7,walks-11,out-12:verb_complement
arm-7,walks-11,ledge-16:prep_onto
arm-7,throbbing-8,<NULL>
Ashitaka-1,gets-2,up-3:verb_complement
Moro-12,jump-13,<NULL>
Moro-1,suggests-10,<NULL>
Moro-12,end-15,pain-17:recipient
<NULL>,perched-3,<NULL>
wound-20,causing-22,Moro-23:recipient
<NULL>,'s-13,<NULL>
Moro-8,tells-9,Moro-10:recipient
<NULL>,happening-6,what-3:recipient
<NULL>,been-14,<NULL>
Ashitaka-1,asks-2,<NULL>
Moro-22,head-24,off-25:verb_complement
She-15,felt-18,would-16:modal_verb
She-15,felt-18,then-14:modifier
She-15,felt-18,justified-19:object
Moro-28,'s-2,<NULL>
Moro-4,cry-7,sleep-12:is_participant_in
Moro-4,cry-7,not-6:negative
Moro-4,cry-7,out-8:verb_complement
<NULL>,biting-21,<NULL>
She-12,feel-14,pain-16:recipient
She-12,feel-14,can-13:modal_verb
boars-2,are-3,<NULL>
pain-21,dies-22,<NULL>
<NULL>,rampaging-25,<NULL>
thing-22,happen-25,ca-23:modal_verb
thing-22,happen-25,not-24:negative
Moro-16,laughs-17,<NULL>
humans-5,live-11,peace-14:is_participant_in
humans-5,live-11,not-10:negative
humans-5,live-11,together-12:modifier
humans-5,live-11,ca-9:modal_verb
humans-5,live-11,why-3:modifier
forest-8,live-11,peace-14:is_participant_in
forest-8,live-11,not-10:negative
forest-8,live-11,together-12:modifier
forest-8,live-11,ca-9:modal_verb
forest-8,live-11,why-3:modifier
Moro-16,laughs-17,<NULL>
Ashitaka-1,asks-2,<NULL>
She-1,longs-2,day-5:destination
She-7,kill-9,day-5:time
She-7,kill-9,can-8:modal_verb
She-7,kill-9,Eboshi-10:recipient
She-7,kill-9,when-6:modifier
<NULL>,be-3,<NULL>
Ashitaka-2,objects-3,When-1:modifier
She-7,'s-8,<NULL>
Moro-11,reveals-15,<NULL>
Moro-11,becomes-12,angry-13:object
She-17,attacked-19,humans-21:recipient
She-17,attacked-19,once-18:modifier
people-6,threw-7,Moro-11:site
people-6,threw-7,terror-3:is_participant_in
people-6,threw-7,baby-9:recipient
<NULL>,raised-8,baby-9:recipient
<NULL>,kept-5,baby-6:recipient
baby-2,was-3,San_Moro-4:recipient
San-9,belong-13,either-15:dependent
San-9,belong-13,wolves-18:attachment
San-9,belong-13,fully-12:modifier
San-9,belong-13,never-11:negative
San-9,belong-13,anywhere-14:modifier
San-9,belong-13,will-10:modal_verb
Moro-6,understands-7,<NULL>
baby-2,loves-3,San-4:recipient
nothing-25,'s-24,<NULL>
Moro-1,tells-2,Ashitaka-3:recipient
baby-14,kill-16,will-15:modal_verb
baby-14,kill-16,Moro-17:recipient
Moro-11,comes-12,<NULL>
<NULL>,gone-19,San-15:recipient
<NULL>,gone-19,daylight-13:recipient
Ashitaka-2,wakes-3,again-5:modifier
Ashitaka-2,wakes-3,up-4:verb_complement
Ashitaka-2,wakes-3,When-1:modifier
Ashitaka-2,wakes-3,cave-8:is_participant_in
supplies-8,left-10,Moro-12:destination
supplies-8,left-10,neatly-9:modifier
Ashitaka-1,gathers-2,things-5:recipient
Moro-5,stumbles-6,down-7:verb_complement
Moro-5,stumbles-6,Yakul-9:attachment
<NULL>,escorts-6,Moro-7:recipient
<NULL>,escorts-6,forest-11:object
Ashitaka-1,throws-2,necklace-7:recipient
Ashitaka-1,throws-2,wolf-10:attachment
San-3,rides-4,brother-7:recipient
<NULL>,overlooking-14,Iron_Town-15:recipient
fires-14,block-16,sense-20:dependent
people-10,built-12,fields-3:is_participant_in
<NULL>,lure-12,trap-16:modified_to
<NULL>,lure-12,people-13:recipient
<NULL>,hoping-10,<NULL>
people-1,cut-2,down-3:verb_complement
people-1,cut-2,trees-4:recipient
Moro-28,does-29,<NULL>
sense-15,depend-19,on-20:verb_complement
eyes-13,depend-19,on-20:verb_complement
Okkoto_Eboshi-8,feels-9,<NULL>
Eboshi-3,going-5,<NULL>
San-1,says-2,<NULL>
Okkoto-23,needs-24,<NULL>
boy-15,wanted-16,<NULL>
Eboshi-5,go-7,away-8:verb_complement
Eboshi-5,go-7,can-6:modal_verb
Moro-1,tells-2,San-3:recipient
Eboshi-12,wants-13,<NULL>
San-1,replies-2,bitterly-3:modifier
Eboshi-5,hates-6,humans-7:recipient
<NULL>,touched-15,gift-18:site
brother-5,gives-8,<NULL>
brother-5,arrives-6,when-2:modifier
brother-5,arrives-6,necklace-11:recipient
<NULL>,seems-14,Eboshi-13:recipient
Moro-12,wait-18,<NULL>
Moro-12,wait-18,<NULL>
Moro-12,go-16,Spirit-22:destination
Moro-12,go-16,will-15:modal_verb
San-1,puts-2,San-3:recipient
Moro-12,wait-18,<NULL>
Moro-12,wait-18,<NULL>
Moro-12,go-16,Spirit-22:destination
Moro-12,go-16,will-15:modal_verb
Eboshi-8,says-9,goodbye-10:object
boars-12,running-16,battle-19:modified_to
boars-12,running-16,headlong-17:modifier
<NULL>,are-15,<NULL>
San-1,go-6,off-7:verb_complement
wolves-5,go-6,off-7:verb_complement
David-8,listen-11,not-10:negative
David-8,listen-11,wo-9:modal_verb
David-8,listen-11,scheme-20:recipient
David-8,listen-11,warning-15:attachment
San-2,catch-3,When-1:modifier
San-2,catch-3,up-4:verb_complement
San-1,run-2,together-5:modifier
San-1,run-2,battle-4:modified_to
boars-19,set-14,off-15:verb_complement
<NULL>,rampaging-18,<NULL>
David-10,hears-11,explosions-13:recipient
David-10,hears-11,dejected-8:modifier
David-5,sees-6,distance-3:raw_material
battle-14,begun-16,<NULL>
gunfire-4,draws-5,However-1:modifier
gunfire-4,draws-5,attention-8:recipient
samurai-8,try-9,<NULL>
samurai-8,stop-11,David-12:recipient
David-2,nears-3,town-5:recipient
leaps-2,swims-12,Iron_Town-14:with_respect_to
Ashitaka-16,deflects-17,arrows-21:dependent
leaps-2,jumps-6,lake-9:modified_to
Ashitaka-1,find-2,Town-4:recipient
Ashitaka-1,find-2,men-11:means
<NULL>,gone-30,Eboshi-28:recipient
men-19,went-20,<NULL>
Lady_Eboshi-16,went-20,<NULL>
Toki-8,tell-13,Ashitaka-14:recipient
Toki-8,tell-13,top-3:performer
women-12,tell-13,Ashitaka-14:recipient
women-12,tell-13,top-3:performer
<NULL>,left-8,lepers-6:recipient
<NULL>,left-8,women-3:recipient
women-14,having-16,trouble-18:recipient
Ashitaka-3,bring-13,back-15:modifier
Ashitaka-3,bring-13,Eboshi-14:recipient
women-1,ask-2,Ashitaka-3:recipient
Kouroku-1,returns-2,bow-5:recipient
Kouroku-1,returns-2,arrows-7:recipient
<NULL>,pursued-5,off-3:modifier
<NULL>,pursued-5,samurai-7:time_between
samurai-18,shoots-19,haunch-25:modified_to
samurai-18,shoots-19,arrow-21:recipient
mountain-5,smoking-9,remains-12:performer
samurai-18,shoots-19,haunch-25:modified_to
samurai-18,shoots-19,arrow-21:recipient
<NULL>,nears-3,mountain-5:recipient
Ashitaka-10,stops-11,<NULL>
arrows-3,take-4,arm-6:recipient
arrows-3,take-4,samurai-9:away_from_location
arrows-3,decapitate-11,<NULL>
one-3,arrows-8,air-12:object
samurai-3,rides-4,off-5:verb_complement
<NULL>,remaining-2,<NULL>
<NULL>,come-20,samurai-23:destination
<NULL>,come-20,back-21:verb_complement
<NULL>,come-20,later-24:modifier
<NULL>,come-20,will-19:modal_verb
Yakul-27,limps-28,samurai-31:support
Yakul-27,limps-28,along-29:verb_complement
Ashitaka-1,tries-11,<NULL>
Ashitaka-1,pulls-2,wound-9:object
Ashitaka-1,pulls-2,arrow-4:recipient
Ashitaka-1,reach-2,part-4:recipient
men-11,burying-20,where-8:modifier
Ashitaka-1,see-4,not-3:negative
Ashitaka-1,see-4,San-5:recipient
Towners-11,needs-12,<NULL>
Ashitaka-1,tells-2,men-4:recipient
Towners-11,needs-12,<NULL>
<NULL>,attacked-9,Iron_Town-6:recipient
<NULL>,challenges-5,demands-8:recipient
<NULL>,challenges-5,Ashitaka-6:recipient
Eboshi-13,went-14,forest-17:modified_to
<NULL>,told-12,Towners-3:recipient
Towners-3,needs-4,<NULL>
Eboshi-13,went-14,forest-17:modified_to
<NULL>,told-12,Towners-3:recipient
Ashitaka-1,says-2,<NULL>
<NULL>,meant-23,men-21:recipient
men-17,realize-20,not-19:negative
<NULL>,laid-10,trap-7:recipient
<NULL>,laid-10,boars-13:destination
men-3,explain-4,<NULL>
mercenaries-2,tell-9,men-12:recipient
mercenaries-2,tell-9,not-8:negative
<NULL>,did-7,<NULL>
mercenaries-2,planted-3,mines-5:recipient
mercenaries-14,were-15,where-13:modifier
<NULL>,slaughtered-17,numbers-20:is_participant_in
<NULL>,slaughtered-17,boars-13:recipient
<NULL>,blown-8,up-9:modifier
<NULL>,blown-8,Consequently-1:modifier
what-15,happened-16,Eboshi-18:attachment
<NULL>,know-14,not-13:negative
<NULL>,does-12,<NULL>
<NULL>,says-5,<NULL>
<NULL>,does-12,<NULL>
<NULL>,saw-7,San-8:recipient
Iron_Town-6,needs-7,<NULL>
Ashitaka-1,tells-2,men-4:recipient
men-2,become-6,angry-7:object
men-13,leave-16,not-15:negative
men-13,leave-16,ca-14:modal_verb
mercenaries-10,tell-11,when-8:modifier
Ashitaka-1,notices-2,<NULL>
<NULL>,trying-9,<NULL>
He-1,free-10,wolf-12:recipient
He-1,helps-2,<NULL>
He-1,is-5,<NULL>
He-8,needs-9,wolf-11:recipient
objects-3,says-7,<NULL>
Ashitaka-6,says-7,<NULL>
<NULL>,guide-13,He-14:recipient
<NULL>,guide-13,forest-17:attachment
Lady_Eboshi-19,is-20,where-18:modifier
men-20,knock-21,out-24:recipient
mercenary-2,responds-3,<NULL>
Ashitaka-8,is-11,straw-14:recipient
men-20,knock-21,out-24:recipient
<NULL>,shooting-5,darts-6:recipient
<NULL>,shooting-5,Ashitaka-8:site
Ashitaka-4,free-5,wolf-7:recipient
Ashitaka-4,free-5,Then-1:modifier
Ashitaka-1,goes-11,<NULL>
Ashitaka-1,leaves-2,Yakul-3:recipient
Lord_Okkoto-15,heading-20,<NULL>
hunter-8,reports-9,forest-5:is_participant_in
hunter-8,reports-9,Jigo-11:attachment
hunter-8,reports-9,Ambush-2:dependent
domain-23,is-27,<NULL>
Lord_Okkoto-15,heading-20,<NULL>
Lord_Okkoto-15,wounded-18,badly-17:modifier
San-1,walks-2,<NULL>
Okkoto-1,losing-6,strength-7:recipient
Okkoto-1,bleeding-3,heavily-4:modifier
<NULL>,claiming-18,<NULL>
<NULL>,sticks-16,<NULL>
<NULL>,claiming-18,<NULL>
<NULL>,claiming-18,<NULL>
<NULL>,throwing-15,<NULL>
clan-5,appear-9,overhead-13:modifier
clan-5,appear-9,trees-12:is_participant_in
<NULL>,claiming-18,<NULL>
<NULL>,sticks-16,<NULL>
<NULL>,claiming-18,<NULL>
<NULL>,claiming-18,<NULL>
<NULL>,throwing-15,<NULL>
David-1,stops-2,<NULL>
actions-22,brought-24,things-26:recipient
actions-22,brought-24,things-31:modified_to
<NULL>,coming-32,human-34:object
<NULL>,coming-32,animal-36:object
<NULL>,oncoming-20,<NULL>
San-1,is-2,<NULL>
San-1,watch-13,can-11:modal_verb
San-1,watch-13,only-12:modifier
<NULL>,run-17,threat-21:compared_to
San-13,slither-14,unnaturally-18:destination/location
<NULL>,followed-7,<NULL>
San-13,slither-14,unnaturally-18:destination/location
<NULL>,appears-3,boar-2:recipient
<NULL>,appears-3,San-5:support
San-3,'re-4,humans-5:recipient
San-1,realizes-2,<NULL>
<NULL>,wearing-6,skins-8:recipient
Okkoto-1,believes-2,San-3:recipient
San-3,be-5,warriors-8:recipient
<NULL>,returned-9,dead-12:compared_to
David-5,walks-6,domain-9:direction
San-1,fears-2,<NULL>
David-14,defeated-16,<NULL>
David-14,filled-22,<NULL>
David-14,wounded-19,mortally-18:modifier
Okkoto-4,becoming-6,David-12:is_before_location
David-14,hate-26,<NULL>
herself-1,sends-2,brother-5:recipient
herself-1,sends-2,She-3:recipient
Moro-8,happening-11,<NULL>
<NULL>,tell-7,Moro-8:recipient
<NULL>,tell-7,herself-16:recipient
Moro-8,stays-13,<NULL>
herself-5,do-7,can-6:modal_verb
nothing-4,'s-3,<NULL>
Okkoto-8,ignores-9,herself-10:recipient
San-1,begs-2,brother-3:recipient
San-9,hears-10,<NULL>
<NULL>,howling-16,message-18:recipient
Ashitaka-19,looking-21,herself-23:destination
herself-2,fends-3,off-4:verb_complement
herself-2,fends-3,boars-7:recipient
howl-3,tells-8,Ashitaka-9:recipient
San-11,is-12,danger-14:is_participant_in
<NULL>,is-2,<NULL>
tendrils-21,covering-22,Okkoto-23:recipient
Ashitaka-6,know-7,<NULL>
slingshot-16,knocked-10,out-11:verb_complement
slingshot-16,knocked-10,San-8:recipient
<NULL>,sucked-18,San-8:recipient
DemonOkkoto-1,resumes-2,rush-5:recipient
Ashitaka-1,comes-10,soon-9:modifier
Ashitaka-1,mounts-2,wolf-4:recipient
Ashitaka-1,comes-10,soon-9:modifier
<NULL>,move-6,faster-7:modifier
Eboshi-5,return-12,<NULL>
Eboshi-5,help-14,Iron_Town-15:recipient
wolf-1,dismounts-2,<NULL>
Lady_Eboshi-2,says-13,only-12:modifier
women-15,take-17,can-16:modal_verb
women-15,take-17,care-18:recipient
<NULL>,killing-8,<NULL>
Lady_Eboshi-2,says-13,only-12:modifier
women-15,take-17,can-16:modal_verb
women-15,take-17,care-18:recipient
<NULL>,finding-6,Forest_Spirit-10:recipient
<NULL>,keep-6,<NULL>
Eboshi-1,tells-2,company-4:recipient
Ashitaka-8,is-9,<NULL>
<NULL>,confused-3,Jigo-1:recipient
Jigo-27,'s-28,<NULL>
<NULL>,do-15,can-14:modal_verb
Jigo-20,says-21,<NULL>
gods-23,is-24,business-26:recipient
<NULL>,wonder-11,back-4:support
Jigo-27,let-31,<NULL>
Eboshi-32,do-33,company-34:recipient
<NULL>,killing-22,<NULL>
Jigo-15,finds-16,Moro-17:recipient
Jigo-15,finds-16,where-14:modifier
Moro-17,dying-21,<NULL>
<NULL>,is-20,<NULL>
Ashitaka-3,reached-8,pool-12:recipient
Ashitaka-3,rushed-5,ahead-6:modifier
Ashitaka-3,rushed-5,Meanwhile-1:modifier
DemonOkkoto-1,arrives-2,still-4:modifier
DemonOkkoto-1,arrives-2,skins-11:is_participant_in
<NULL>,struggling-10,demon-13:is_behind
calls-2,see-8,can-7:modal_verb
calls-2,see-8,Eboshi-9:recipient
Eboshi-1,growing-3,<NULL>
hunters-9,interfere-10,<NULL>
DemonOkkoto-1,asks-2,Okkoto-3:recipient
demon-7,thrown-3,off-4:verb_complement
demon-7,thrown-3,Ashitaka-1:recipient
Moro-1,drags-22,mass-27:object
Moro-1,drags-22,San-23:recipient
Moro-1,rouses-15,herself-16:recipient
Moro-1,drags-22,mass-27:object
Moro-1,drags-22,San-23:recipient
Moro-1,drags-22,mass-27:object
Moro-1,drags-22,San-23:recipient
herself-16,confront-18,demon-20:recipient
Moro-1,saving-5,<NULL>
Moro-1,drags-22,mass-27:object
Moro-1,drags-22,San-23:recipient
Moro-1,rouses-15,herself-16:recipient
Moro-1,drags-22,mass-27:object
Moro-1,drags-22,San-23:recipient
Moro-1,drags-22,mass-27:object
Moro-1,drags-22,San-23:recipient
herself-16,confront-18,demon-20:recipient
<NULL>,fight-12,Lady_Eboshi-13:recipient
Forest_Spirit-7,approaches-8,form-13:is_participant_in
Lady_Eboshi-3,see-5,can-4:modal_verb
Lady_Eboshi-3,see-5,place-10:raw_material
Lady_Eboshi-3,see-5,San-6:recipient
Jigo-1,see-5,can-4:modal_verb
Jigo-1,see-5,place-10:raw_material
Jigo-1,see-5,San-6:recipient
Okkoto-7,backs-8,away-9:verb_complement
tendrils-12,begin-13,<NULL>
Ashitaka-1,wakes-2,<NULL>
Moro-14,cries-15,out-16:verb_complement
Moro-14,cries-15,Eboshi-18:attachment
Lady_Eboshi-8,shoot-9,Forest_Spirit-11:recipient
Moro-1,sees-7,<NULL>
Moro-1,comes-2,surface-5:attachment
Spirit-3,sinks-6,<NULL>
Spirit-3,stops-4,bit-8:recipient
<NULL>,recovers-15,<NULL>
<NULL>,keeps-17,<NULL>
<NULL>,hit-12,Spirit-10:recipient
<NULL>,hit-12,bit-8:time
<NULL>,hit-12,when-9:modifier
Ashitaka-1,returns-7,water-10:attachment
Ashitaka-1,wash-12,tendrils-15:recipient
Ashitaka-1,takes-2,San-3:recipient
Ashitaka-1,takes-2,Moro-5:origin_value
David-12,die-14,<NULL>
Spirit-7,allows-11,David-12:recipient
Spirit-7,heals-8,Okkoto-9:recipient
Moro-1,seems-8,<NULL>
Moro-1,die-10,<NULL>
Moro-1,falls-3,too-2:modifier
Moro-1,falls-3,ground-6:attachment
<NULL>,'s-21,<NULL>
Eboshi-13,comments-14,<NULL>
Eboshi-1,watch-5,Forest_Spirit-7:recipient
Eboshi-1,watch-5,distance-10:performer
mercenaries-4,watch-5,Forest_Spirit-7:recipient
mercenaries-4,watch-5,distance-10:performer
life-16,are-19,Moro-20:recipient
<NULL>,Watch-1,closely-2:modifier
<NULL>,Watch-1,everyone-4:recipient
Lady_Eboshi-14,says-13,<NULL>
I-1,going-3,<NULL>
trick-2,is-3,god-7:attachment
trick-2,is-3,not-4:negative
Eboshi-2,take-3,aim-4:recipient
ishibiya-14,distracts-18,Eboshi-19:recipient
ishibiya-14,distracts-18,only-17:modifier
Ashitaka-6,hits-12,ishibiya-14:recipient
Ashitaka-6,throws-7,sword-10:recipient
<NULL>,stop-23,either-25:modifier
<NULL>,stop-23,not-22:negative
<NULL>,stop-23,Eboshi-24:recipient
<NULL>,does-21,<NULL>
<NULL>,does-21,<NULL>
plants-9,sprout-10,parts-14:performer
Spirit-3,looks-4,Eboshi-7:site
head-12,falls-13,ground-16:attachment
Eboshi-1,hits-4,<NULL>
Eboshi-1,fires-2,Forest_Spirit-7:recipient
spouts-4,falls-12,on-13:verb_complement
kodamas-2,fall-3,trees-6:performer
kodamas-2,fall-3,around-8:modifier
Lady_Eboshi-1,gives-7,Spirit-8:recipient
Lady_Eboshi-1,gives-7,Jigo-10:attachment
Lady_Eboshi-1,grabs-2,head-5:recipient
Porters-1,come-2,up-3:verb_complement
Porters-9,run-10,off-11:verb_complement
Jigo-1,puts-2,head-4:recipient
Gonza-13,is-16,<NULL>
Gonza-13,come-21,too-22:modifier
Gonza-13,escape-24,ooze-26:recipient
<NULL>,telling-12,Gonza-13:recipient
Gonza-13,come-21,too-22:modifier
Gonza-13,escape-24,ooze-26:recipient
Gonza-13,come-21,too-22:modifier
Gonza-13,escape-24,ooze-26:recipient
Ashitaka-1,pulls-6,water-10:modified_to
Ashitaka-1,pulls-6,Eboshi-7:recipient
Ashitaka-1,swims-2,Lady_Eboshi-4:attachment
Ashitaka-10,tells-11,Gonza-12:recipient
Gonza-5,swim-8,ca-6:modal_verb
Gonza-5,swim-8,not-7:negative
Gonza-2,complains-3,When-1:modifier
pool-20,is-23,<NULL>
San-9,waiting-11,where-8:modifier
Ashitaka-1,go-2,island-6:attachment
San-1,is-7,<NULL>
<NULL>,helping-12,Eboshi-13:recipient
San-1,wants-2,<NULL>
Ashitaka-16,asks-17,Eboshi-18:recipient
Eboshi-1,is-6,<NULL>
Eboshi-1,'s-2,despair-4:is_participant_in
Ashitaka-21,try-22,<NULL>
nothing-9,save-11,can-10:modal_verb
nothing-9,save-11,forest-13:recipient
Walker-3,prowling-5,forest-7:recipient
Walker-3,prowling-5,search-9:is_participant_in
Forest-1,sends-9,down-11:verb_complement
Forest-1,sends-9,Ashitaka-10:recipient
Forest-1,sends-9,forest-14:modified_to
Forest-1,grows-2,neck-7:raw_material
Forest-1,grows-2,tentacles-3:recipient
<NULL>,knocking-16,trees-18:recipient
<NULL>,knocking-16,down-17:verb_complement
<NULL>,tossing-20,Ashitaka-21:recipient
<NULL>,tossing-20,around-22:verb_complement
men-5,running-7,away-8:verb_complement
Jigo-1,running-7,away-8:verb_complement
