others-16,reveal-18,whereabouts-21:recipient
Ratched-13,demands-14,others-16:recipient
patient-6,missing-11,<NULL>
others-16,reveal-18,whereabouts-21:recipient
Ratched-13,demands-14,others-16:recipient
orderlies-2,discover-3,When-1:modifier
<NULL>,led-10,hospital-14:object
<NULL>,led-10,immediately-9:modifier
<NULL>,led-10,Candy-5:recipient
<NULL>,discovered-3,Billy-1:recipient
Ratched-1,demands-2,<NULL>
Billy-4,tell-5,Billy-6:recipient
Billy-6,allowed-8,Billy-9:recipient
rest-18,encouraged-22,McMurphy-23:recipient
Billy-1,tells-9,patient-10:object
McMurphy-12,did-13,<NULL>
<NULL>,gone-7,noticeably-6:modifier
Ratched-4,threatens-6,then-5:modifier
stutter-3,returns-4,upset-10:dependent
stutter-3,returns-4,quickly-6:modifier
<NULL>,dragged-20,away-21:verb_complement
<NULL>,dragged-20,Dr-23:attachment
<NULL>,dragged-20,Billy-13:recipient
Billy-13,breaks-14,down-15:verb_complement
Billy-13,breaks-14,tears-17:modified_to
<NULL>,dragged-20,away-21:verb_complement
<NULL>,dragged-20,Dr-23:attachment
<NULL>,dragged-20,Billy-13:recipient
Billy-5,thought-8,should-6:modal_verb
<NULL>,dragged-20,away-21:verb_complement
<NULL>,dragged-20,Dr-23:attachment
<NULL>,dragged-20,Billy-13:recipient
Billy-13,breaks-14,down-15:verb_complement
Billy-13,breaks-14,tears-17:modified_to
<NULL>,dragged-20,away-21:verb_complement
<NULL>,dragged-20,Dr-23:attachment
<NULL>,dragged-20,Billy-13:recipient
mother-2,explains-3,When-1:modifier
<NULL>,screaming-5,<NULL>
Spivey-1,'s-2,office-3:recipient
<NULL>,is-17,<NULL>
<NULL>,unlocks-11,still-3:modifier
<NULL>,unlocks-11,possession-5:is_participant_in
<NULL>,unlocks-11,McMurphy-1:modifier
<NULL>,escape-20,<NULL>
<NULL>,screams-26,loudly-27:object
<NULL>,screams-26,when-21:modifier
everyone-3,rush-5,room-8:attachment
McMurphy-1,rush-5,room-8:attachment
<NULL>,slit-18,throat-21:recipient
<NULL>,using-11,piece-14:recipient
McMurphy-7,commits-8,suicide-9:recipient
ward-6,done-8,what-4:recipient
ward-6,done-8,friend-12:attachment
McMurphy-2,sees-3,<NULL>
McMurphy-14,explodes-15,rage-19:modified_to
friend-25,is-26,death-28:prep_near
<NULL>,taken-15,off-16:verb_complement
<NULL>,taken-15,ward-18:recipient
<NULL>,taken-15,McMurphy-5:recipient
<NULL>,is-6,<NULL>
friend-1,survives-2,<NULL>
<NULL>,knocked-7,unconscious-8:object
<NULL>,knocked-7,McMurphy-5:recipient
Rumors-1,float-2,<NULL>
others-7,seem-8,<NULL>
<NULL>,lobotomized-13,<NULL>
<NULL>,escaped-5,<NULL>
<NULL>,believe-2,<NULL>
orderlies-14,returned-8,night-3:recipient
orderlies-14,returned-8,Late-1:modifier
orderlies-14,returned-8,bed-12:attachment
orderlies-14,returned-8,McMurphy-5:recipient
orderlies-14,returned-8,quietly-7:modifier
Chief-2,finds-10,<NULL>
Chief-2,sneaks-3,over-4:verb_complement
Chief-2,sneaks-3,bed-8:attachment
<NULL>,lobotomized-28,Chief-25:recipient
Chief-8,suffocates-9,friend-13:recipient
<NULL>,leave-3,McMurphy-4:recipient
<NULL>,leave-3,behind-5:modifier
Mac-9,escapes-23,Canada-25:attachment
<NULL>,hurling-16,fountain-17:recipient
Mac-9,escapes-23,Canada-25:attachment
fountain-7,lifts-2,unable-11:dependent
fountain-7,lifts-2,McMurphy-1:modifier
Mac-9,was-10,<NULL>
