<NULL>,meets-3,Nemo-2:modifier
pelican-2,greets-14,Nemo-15:recipient
pelican-2,named-3,himself-6:recipient
pelican-2,named-3,perches-5:recipient
Bill_Hunter-8,shows-10,<NULL>
<NULL>,promised-25,Nemo-22:recipient
<NULL>,promised-25,niece-17:recipient
Bill_Hunter-8,shooed-3,Rush-1:recipient
Bill_Hunter-8,shooed-3,away-4:verb_complement
fish-3,call-6,<NULL>
fish-3,cringe-4,<NULL>
fish-3,go-4,<NULL>
Dafoe-27,escape-29,himself-30:recipient
Dafoe-27,escape-29,must-28:modal_verb
Gill_Willem_Dafoe-9,tells-24,Nemo-25:recipient
Nemo-7,tells-24,Nemo-25:recipient
Peach-7,relates-8,strength-11:recipient
Peach-7,relates-8,origins-16:attachment
Nemo-1,manages-2,<NULL>
<NULL>,hanging-15,precariously-16:modifier
Marlin-1,awake-4,aftermath-7:is_participant_in
Dory-3,awake-4,aftermath-7:is_participant_in
movements-2,collide-11,<NULL>
movements-2,cause-3,tip-8:attachment
movements-2,cause-3,submarine-5:recipient
Dory-11,drops-13,chaos-3:prep_during
Dory-11,drops-13,darkness-18:modified_to
Dory-11,drops-13,blinded-5:prep_during
Dory-11,drops-13,accidentally-12:modifier
Dory-11,drops-13,mask-15:recipient
Marlin-17,keep-20,just-19:modifier
Marlin-17,keep-20,swimming-21:recipient
<NULL>,telling-16,Marlin-17:recipient
Marlin-17,keep-20,just-19:modifier
Marlin-17,keep-20,swimming-21:recipient
<NULL>,telling-16,Marlin-17:recipient
<NULL>,takes-10,depths-14:modified_to
<NULL>,takes-10,Marlin-11:recipient
<NULL>,takes-10,cheerfully-9:modifier
<NULL>,takes-10,Dory-8:modifier
<NULL>,lost-6,<NULL>
Marlin-17,keep-20,just-19:modifier
Marlin-17,keep-20,swimming-21:recipient
Marlin-17,keep-20,just-19:modifier
Marlin-17,keep-20,swimming-21:recipient
<NULL>,telling-16,Marlin-17:recipient
<NULL>,takes-10,depths-14:modified_to
<NULL>,takes-10,Marlin-11:recipient
<NULL>,takes-10,cheerfully-9:modifier
<NULL>,takes-10,Dory-8:modifier
<NULL>,telling-16,Marlin-17:recipient
Marlin-1,gives-2,chaos-3:recipient
