Chigurh-1,examines-12,corpses-14:recipient
Chigurh-1,removes-2,door-10:raw_material
Chigurh-1,removes-2,tag-5:recipient
men-3,give-4,Chigurh-5:recipient
men-3,give-4,device-8:recipient
men-11,said-12,<NULL>
men-13,getting-15,bleep-18:recipient
Chigurh-2,use-4,can-3:modal_verb
<NULL>,hidden-17,device-19:is_participant_in
Chigurh-1,kills-13,<NULL>
Chigurh-1,picks-2,up-3:verb_complement
Chigurh-1,picks-2,pistol-5:recipient
Chigurh-1,kills-13,<NULL>
<NULL>,laying-6,<NULL>
Bell_Tommy_Lee_Jones-6,recognize-20,<NULL>
<NULL>,belonging-23,motorist-27:attachment
<NULL>,following-2,<NULL>
Bell_Tommy_Lee_Jones-6,recognize-20,<NULL>
<NULL>,belonging-23,motorist-27:attachment
Wendell_Garret_Dillahunt-9,respond-10,report-13:attachment
Wendell_Garret_Dillahunt-9,respond-10,morning-3:time
Wendell_Garret_Dillahunt-9,respond-10,Ford-22:recipient
Bell_Tommy_Lee_Jones-6,respond-10,report-13:attachment
Bell_Tommy_Lee_Jones-6,respond-10,morning-3:time
Bell_Tommy_Lee_Jones-6,respond-10,Ford-22:recipient
Bell_Tommy_Lee_Jones-6,recognize-20,<NULL>
<NULL>,belonging-23,motorist-27:attachment
<NULL>,burning-16,<NULL>
Sheriff_Bell-12,recognizes-13,where-11:modifier
Sheriff_Bell-12,recognizes-13,truck-16:recipient
Dillahunt-1,follow-2,tracks-4:recipient
Dillahunt-1,follow-2,shoot-7:attachment
Jones-1,call-13,authorities-16:is_participant_in
Jones-1,decide-11,then-10:modifier
Wendell-3,look-5,scene-8:recipient
Wendell-3,look-5,over-6:verb_complement
Wendell-3,look-5,carefully-4:modifier
Jones-1,look-5,scene-8:recipient
Jones-1,look-5,over-6:verb_complement
Jones-1,look-5,carefully-4:modifier
<NULL>,gone-4,heroin-2:recipient
<NULL>,gone-4,back-7:compared_to
Chigurh-1,uses-10,pistol-14:recipient
Chigurh-1,appears-2,Moss-4:site
Chigurh-10,finds-11,mail-15:is_participant_in
Chigurh-10,finds-11,bill-18:recipient
Chigurh-10,finds-11,mail-15:is_participant_in
Chigurh-10,finds-11,bill-18:recipient
<NULL>,vacated-7,hurriedly-6:modifier
<NULL>,vacated-7,trailer-2:recipient
couple-22,made-24,lot-26:recipient
couple-22,made-24,TX-32:attachment
bill-18,reveals-20,<NULL>
Chigurh-24,hears-25,room-30:is_participant_in
Chigurh-24,hears-25,when-23:modifier
Chigurh-24,hears-25,noise-26:recipient
<NULL>,revealing-11,<NULL>
Chigurh-24,hears-25,room-30:is_participant_in
Chigurh-24,hears-25,when-23:modifier
Chigurh-24,hears-25,noise-26:recipient
Chigurh-1,tries-2,<NULL>
Chigurh-24,hears-25,room-30:is_participant_in
Chigurh-24,hears-25,when-23:modifier
Chigurh-24,hears-25,noise-26:recipient
Moss-13,works-14,where-12:modifier
Chigurh-24,hears-25,room-30:is_participant_in
Chigurh-24,hears-25,when-23:modifier
Chigurh-24,hears-25,noise-26:recipient
Moss-13,seems-16,<NULL>
Moss-1,puts-2,wife-5:recipient
Moss-13,call-15,couple-19:is_participant_in
Moss-13,call-15,will-14:modal_verb
Moss-13,call-15,wife-16:recipient
duct-27,using-28,closet-34:performer
duct-27,using-28,bar-31:recipient
duct-27,using-28,closet-34:performer
duct-27,using-28,bar-31:recipient
Moss-14,hides-19,deep-23:modifier
Moss-14,hides-19,case-22:recipient
Moss-14,rents-15,room-17:recipient
Moss-14,rents-15,where-13:modifier
Moss-14,hides-19,deep-23:modifier
Moss-14,hides-19,case-22:recipient
Moss-1,takes-2,motel-11:attachment
Moss-1,takes-2,cab-4:recipient
Moss-1,leaves-2,hotel-4:recipient
Moss-1,buys-6,socks-9:recipient
Moss-1,buys-6,boots-7:recipient
<NULL>,parked-13,room-17:prep_near
<NULL>,take-27,motel-31:attachment
<NULL>,take-27,Moss-28:recipient
truck-12,makes-18,<NULL>
