knight-16,found-19,Grail-21:recipient
research-43,vanished-45,<NULL>
leader-38,vanished-45,<NULL>
prisoner-36,got-37,diary-44:raw_material
<NULL>,contained-49,research-55:recipient
<NULL>,contained-49,which-47:recipient
Indy-31,remembers-33,surprise-4:attachment
Indy-31,remembers-33,suddenly-32:modifier
ransacked-24,opened-29,<NULL>
mail-28,opened-29,<NULL>
Indy-17,meet-18,<NULL>
Donovan-9,arranged-11,apartments-12:recipient
Donovan-9,arranged-11,where-8:modifier
Indy-17,meet-18,<NULL>
Indy-1,fly-4,Venice-6:attachment
Marcus-3,fly-4,Venice-6:attachment
<NULL>,written-5,<NULL>
note-6,contains-10,numerals-14:recipient
Schneider-1,gives-2,Indy-3:recipient
Schneider-1,gives-2,note-6:recipient
group-2,goes-3,<NULL>
window-3,gives-10,Indy-11:recipient
window-3,gives-10,clue-13:recipient
<NULL>,dating-4,sacking-7:performer
<NULL>,containing-12,oil-13:recipient
pries-2,finds-7,network-9:recipient
pries-2,open-3,floor-5:recipient
<NULL>,passing-10,painting-13:recipient
shield-33,Exploring-1,tunnel-3:recipient
shield-33,Exploring-1,process-9:is_participant_in
casket-28,Exploring-1,tunnel-3:recipient
casket-28,Exploring-1,process-9:is_participant_in
Indy-38,escape-41,<NULL>
Elsa-40,escape-41,<NULL>
who-20,followed-22,Indy-23:modifier
who-20,followed-22,States-26:origin_value
Indy-38,escape-41,<NULL>
Elsa-40,escape-41,<NULL>
cult-28,sets-29,fire-30:recipient
cult-28,sets-29,oil-33:attachment
Indy-38,escape-41,<NULL>
Elsa-40,escape-41,<NULL>
<NULL>,preventing-13,discovery-14:recipient
Indy-38,escape-41,<NULL>
Elsa-40,escape-41,<NULL>
who-20,followed-22,Indy-23:modifier
who-20,followed-22,States-26:origin_value
Indy-38,escape-41,<NULL>
Elsa-40,escape-41,<NULL>
cult-28,sets-29,fire-30:recipient
cult-28,sets-29,oil-33:attachment
Indy-38,escape-41,<NULL>
Elsa-40,escape-41,<NULL>
members-7,slugged-5,However-1:modifier
members-7,slugged-5,Marcus-3:recipient
Indy-38,escape-41,<NULL>
Elsa-40,escape-41,<NULL>
who-20,followed-22,Indy-23:modifier
who-20,followed-22,States-26:origin_value
Indy-38,escape-41,<NULL>
Elsa-40,escape-41,<NULL>
cult-28,sets-29,fire-30:recipient
cult-28,sets-29,oil-33:attachment
Indy-38,escape-41,<NULL>
Elsa-40,escape-41,<NULL>
<NULL>,sworn-11,<NULL>
Indy-12,dispatches-13,boat-15:recipient
Indy-12,dispatches-13,corners-17:recipient
Indy-12,dispatches-13,member-25:recipient
cultists-8,pursued-5,Indy-1:recipient
cultists-8,pursued-5,Elsa-3:recipient
Indy-1,learns-2,leader-4:raw_material
<NULL>,Brunewald-15,Germany-17:is_participant_in
<NULL>,determined-26,<NULL>
Marcus-1,finds-2,<NULL>
men-14,ransacked-12,Elsa-8:recipient
<NULL>,give-45,immortality-47:modifier
<NULL>,give-45,Donovan-46:recipient
Walter_Donovan-37,wants-40,cup-43:recipient
<NULL>,find-28,<NULL>
Elsa-19,crossed-17,double-16:modifier
Elsa-19,crossed-17,horror-26:attachment
<NULL>,fly-3,castle-7:attachment
<NULL>,setting-19,fire-22:recipient
<NULL>,setting-19,off-20:verb_complement
Indy-10,manages-11,<NULL>
<NULL>,bound-5,castle-8:is_participant_in
<NULL>,bound-5,Indy-1:recipient
<NULL>,bound-5,Henry-3:recipient
Henry-15,stops-16,trek-19:recipient
Henry-3,commandeer-4,motorcycle-7:recipient
Henry-1,commandeer-4,motorcycle-7:recipient
Elsa-33,taken-35,Hitler-40:with_respect_to
Elsa-33,taken-35,where-30:modifier
Elsa-33,taken-35,diary-38:recipient
Donovan-31,taken-35,Hitler-40:with_respect_to
Donovan-31,taken-35,where-30:modifier
Donovan-31,taken-35,diary-38:recipient
<NULL>,make-23,<NULL>
Henry-24,go-25,Berlin-28:attachment
Henry-24,go-25,back-26:verb_complement
Henry-15,stops-16,trek-19:recipient
Henry-1,escape-9,<NULL>
Henry-13,explains-14,<NULL>
<NULL>,protect-20,keys-24:recipient
<NULL>,protect-20,grail-22:recipient
<NULL>,protect-20,Henry-27:attachment
details-17,traps-18,<NULL>
Indy-2,demands-3,When-1:modifier
father-23,blasphemes-24,father-21:time
father-23,blasphemes-24,when-22:modifier
Indy-1,receives-15,slap-17:recipient
Indy-1,receives-15,father-21:raw_material
Indy-1,confronts-3,father-6:recipient
Indy-1,confronts-3,also-2:modifier
staff-19,finds-10,<NULL>
standing-12,finds-10,<NULL>
father-5,trek-6,Berlin-8:attachment
Indy-1,trek-6,Berlin-8:attachment
<NULL>,tempted-9,<NULL>
<NULL>,strangle-11,Elsa-12:recipient
Indy-1,retrieves-2,diary-4:recipient
himself-14,adds-17,signature-20:recipient
himself-14,adds-17,book-23:attachment
Indy-9,comes-10,facetoface-11:object
Indy-9,comes-10,departure-4:prep_during
father-5,got-6,Berlin_Flughafen-9:attachment
Indy-1,got-6,Berlin_Flughafen-9:attachment
<NULL>,forced-5,However-1:modifier
<NULL>,forced-5,Indy-3:recipient
<NULL>,attached-14,<NULL>
<NULL>,using-10,plane-13:recipient
Charlemegne-42,drives-44,Henry-45:recipient
Henry-38,remembers-40,suddenly-39:modifier
Henry-38,remembers-40,Charlemegne-42:recipient
Henry-38,remembers-40,then-37:modifier
fighters-6,chased-3,Indy-1:modifier
fighters-6,chased-3,plane-30:dependent
<NULL>,forced-9,<NULL>
fighter-56,crashes-64,<NULL>
fighter-56,flies-59,swarm-62:modified_to
